chave_canonica,grafias_encontradas,grafias_divergentes,itens_que_citam,roteiros,existe_em_legislations,legislation_url
NR|32|,"NR 32; NR-32",sim,25,"Roteiro de Inspeção — Clínica de Estética e Saúde; Roteiro de Inspeção — ILPI (Base Federal); Roteiro de Inspeção — ILPI | Goiás / Senador Canedo; [ARQUIVADO] Roteiro de Inspeção — Clínica de Estética e Saúde | RJ / Rio de Janeiro; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza (v2027); [ARQUIVADO] Roteiro de Inspeção — ILPI (Base Federal) (v2027)",sim,https://www.gov.br/trabalho-e-emprego/pt-br/composicao/secretaria-de-trabalho/sst/normas-regulamentadoras/nr-32.pdf
DECRETO|45585|,Decreto-Rio 45585/18,não,24,Roteiro de Inspeção — Serviços de Alimentação (Município RJ),não,
NOTA TECNICA|2|2024,"Nota Técnica Anvisa nº 2/2024; Nota Técnica nº 2/2024/Anvisa; Nota Técnica nº 2/2024/SEI/GGTES/DIRE3/ANVISA",sim,20,"Roteiro de Inspeção — Clínica de Estética e Saúde; Roteiro de Inspeção — Embelezamento e Beleza; [ARQUIVADO] Roteiro de Inspeção — Clínica de Estética e Saúde | RJ / Rio de Janeiro",não,
LEI|1812|2014,Lei Municipal 1.812/2014,não,19,Roteiro de Inspeção — ILPI | Goiás / Senador Canedo,não,
LEI|6360|1976,Lei nº 6.360/1976,não,12,"Roteiro de Inspeção — Clínica de Estética e Saúde; Roteiro de Inspeção — Embelezamento e Beleza; [ARQUIVADO] Roteiro de Inspeção — Clínica de Estética e Saúde | RJ / Rio de Janeiro; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza (v2027)",não,
RDC|751|2022,"RDC 751/2022; RDC Anvisa nº 751/2022; RDC nº 751/2022",sim,12,"Roteiro de Inspeção — Clínica de Estética e Saúde; Roteiro de Inspeção — Embelezamento e Beleza; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza (v2027)",sim,https://www.in.gov.br/en/web/dou/-/resolucao-rdc-n-751-de-21-de-setembro-de-2022-430929547
NBR|9050|,"ABNT NBR 9050; NBR 9050",sim,11,"Roteiro de Inspeção — Clínica de Estética e Saúde; Roteiro de Inspeção — ILPI (Base Federal); Roteiro de Inspeção — ILPI | Goiás / Senador Canedo; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza (v2027); [ARQUIVADO] Roteiro de Inspeção — ILPI (Base Federal) (v2027)",sim,https://www.abntcatalogo.com.br/norma.aspx?ID=345048
NR|6|,NR-6,não,9,"Roteiro de Inspeção — Clínica de Estética e Saúde; Roteiro de Inspeção — Embelezamento e Beleza; Roteiro de Inspeção — ILPI (Base Federal); Roteiro de Inspeção — ILPI | Goiás / Senador Canedo; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza (v2027); [ARQUIVADO] Roteiro de Inspeção — ILPI (Base Federal) (v2027)",não,
NR|1|,NR-1,não,8,"Roteiro de Inspeção — Clínica de Estética e Saúde; Roteiro de Inspeção — Embelezamento e Beleza; Roteiro de Inspeção — ILPI (Base Federal); [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza (v2027); [ARQUIVADO] Roteiro de Inspeção — ILPI (Base Federal) (v2027)",não,
NR|10|,"NR 10; NR-10",sim,8,"Roteiro de Inspeção — Clínica de Estética e Saúde; Roteiro de Inspeção — ILPI (Base Federal); Roteiro de Inspeção — ILPI | Goiás / Senador Canedo; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza (v2027); [ARQUIVADO] Roteiro de Inspeção — ILPI (Base Federal) (v2027)",não,
NR|24|,"NR 24; NR-24",sim,7,"Roteiro de Inspeção — Clínica de Estética e Saúde; Roteiro de Inspeção — ILPI (Base Federal); [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza (v2027); [ARQUIVADO] Roteiro de Inspeção — ILPI (Base Federal) (v2027)",não,
NR|7|,NR-7,não,7,"Roteiro de Inspeção — Clínica de Estética e Saúde; Roteiro de Inspeção — Embelezamento e Beleza; Roteiro de Inspeção — ILPI (Base Federal); Roteiro de Inspeção — ILPI | Goiás / Senador Canedo; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza (v2027); [ARQUIVADO] Roteiro de Inspeção — ILPI (Base Federal) (v2027)",não,
RDC|509|2021,RDC Anvisa nº 509/2021,não,7,Roteiro de Inspeção — Clínica de Estética e Saúde,não,
PORTARIA|344|,Portaria SVS/MS nº 344/98,não,6,"[ARQUIVADO] Roteiro de Inspeção — Estética e Beleza; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza (v2027)",não,
PORTARIA|344|1998,"Art. 67 da Portaria SVS/MS 344/1998; Portaria SVS/MS 344/1998; Portaria SVS/MS nº 344/1998 e suas atualizações",sim,6,"Roteiro de Inspeção — Clínica de Estética e Saúde; Roteiro de Inspeção — ILPI (Base Federal); Roteiro de Inspeção — ILPI | Goiás / Senador Canedo; [ARQUIVADO] Roteiro de Inspeção — ILPI (Base Federal) (v2027)",sim,https://bvsms.saude.gov.br/bvs/saudelegis/svs/1998/prt0344_12_05_1998_rep.html
PORTARIA|4|2017,"Portaria de Consolidação GM/MS nº 4/2017, Anexo V; Portaria de Consolidação MS nº 4/2017; Portaria de Consolidação nº 4/2017 (GM/MS)",sim,6,"Roteiro de Inspeção — Clínica de Estética e Saúde; Roteiro de Inspeção — ILPI (Base Federal); Roteiro de Inspeção — ILPI | Goiás / Senador Canedo; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza (v2027); [ARQUIVADO] Roteiro de Inspeção — ILPI (Base Federal) (v2027)",não,
RDC|56|2009,"RDC 56/2009; RDC Anvisa nº 56/2009",sim,5,"Roteiro de Inspeção — Clínica de Estética e Saúde; Roteiro de Inspeção — Embelezamento e Beleza; [ARQUIVADO] Roteiro de Inspeção — Clínica de Estética e Saúde | RJ / Rio de Janeiro; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza (v2027)",não,
DECRETO|57501|2026,Decreto Rio nº 57.501/2026,não,4,[ARQUIVADO] Roteiro de Inspeção — Clínica de Estética e Saúde | RJ / Rio de Janeiro,sim,https://www.legisweb.com.br/legislacao/?id=490279
LEI|13589|2018,"Lei Federal nº 13.589/2018; Lei nº 13.589/2018",sim,4,"Roteiro de Inspeção — Clínica de Estética e Saúde; Roteiro de Inspeção — Embelezamento e Beleza; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza (v2027)",não,
LEI|9294|1996,"Lei Federal nº 9.294/1996; Lei nº 9.294/1996",sim,4,"Roteiro de Inspeção — Clínica de Estética e Saúde; Roteiro de Inspeção — Embelezamento e Beleza; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza (v2027)",não,
NOTA TECNICA|02|2024,Nota Técnica 02/2024/ANVISA,não,4,"[ARQUIVADO] Roteiro de Inspeção — Estética e Beleza; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza (v2027)",não,
OUTRO|21|,Art. 21,não,4,"Roteiro de Inspeção — ILPI (Base Federal); [ARQUIVADO] Roteiro de Inspeção — ILPI (Base Federal) (v2027)",não,
OUTRO|2605|2006,RE 2605/2006,não,4,"[ARQUIVADO] Roteiro de Inspeção — Estética e Beleza; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza (v2027)",não,
PORTARIA|888|2021,"Portaria GM/MS Nº 888/2021; Portaria GM/MS nº 888/2021; Portaria MS 888/2021",sim,4,"Roteiro de Inspeção — Clínica de Estética e Saúde; Roteiro de Inspeção — ILPI | Goiás / Senador Canedo; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza (v2027)",não,
RDC|67|2007,"RDC 67/2007; RDC Anvisa nº 67/2007",sim,4,"Roteiro de Inspeção — Clínica de Estética e Saúde; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza (v2027)",não,
LEI|8078|1990,Lei nº 8.078/1990,não,3,Roteiro de Inspeção — Clínica de Estética e Saúde,sim,https://www.planalto.gov.br/ccivil_03/leis/l8078.htm
OUTRO|2|,RE Anvisa nº 2,não,3,"Roteiro de Inspeção — Clínica de Estética e Saúde; Roteiro de Inspeção — Embelezamento e Beleza",não,
RDC|156|2006,"RDC Anvisa nº 156/2006; RDC nº 156/2006",sim,3,"Roteiro de Inspeção — Clínica de Estética e Saúde; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza (v2027)",não,
RDC|42|2010,"RDC 42/2010; RDC Anvisa nº 42/2010",sim,3,"Roteiro de Inspeção — Clínica de Estética e Saúde; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza (v2027)",não,
DECRETO|9013|2017,Decreto 9.013/2017,não,2,"Roteiro de Inspeção — Serviços de Alimentação (Município RJ); Roteiro de Inspeção — Serviços de Alimentação (Nacional)",não,
LEI||,Lei do Exercício Profissional,não,2,"[ARQUIVADO] Roteiro de Inspeção — Estética e Beleza; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza (v2027)",não,
LEI|13709|2018,"Lei Federal 13.709/2018; Lei nº 13.709/2018",sim,2,"Roteiro de Inspeção — Clínica de Estética e Saúde; Roteiro de Inspeção — ILPI | Goiás / Senador Canedo",não,
LEI|14602|2023,Lei Federal nº 14.602/2023,não,2,"Roteiro de Inspeção — ILPI (Base Federal); [ARQUIVADO] Roteiro de Inspeção — ILPI (Base Federal) (v2027)",sim,https://www.planalto.gov.br/ccivil_03/_Ato2023-2026/2023/Lei/L14602.htm
LEI|8618|2024,Lei Municipal RJ nº 8.618/2024,não,2,"Roteiro de Inspeção — ILPI (Base Federal); [ARQUIVADO] Roteiro de Inspeção — ILPI (Base Federal) (v2027)",sim,https://www.cofen.gov.br/prefeitura-do-rio-de-janeiro-sanciona-lei-de-descanso-digno-para-a-categoria/
NBR|13534|,ABNT NBR 13534,não,2,"Roteiro de Inspeção — Clínica de Estética e Saúde; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza",não,
OUTRO|51|,Art. 51,não,2,"Roteiro de Inspeção — ILPI (Base Federal); [ARQUIVADO] Roteiro de Inspeção — ILPI (Base Federal) (v2027)",não,
PORTARIA|2616|,Portaria 2616,não,2,"[ARQUIVADO] Roteiro de Inspeção — Estética e Beleza; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza (v2027)",não,
RDC|218|2005,RDC 218/2005,não,2,"Roteiro de Inspeção — Serviços de Alimentação (Município RJ); Roteiro de Inspeção — Serviços de Alimentação (Nacional)",não,
RDC|430|2020,RDC ANVISA nº 430/2020,não,2,"Roteiro de Inspeção — ILPI (Base Federal); [ARQUIVADO] Roteiro de Inspeção — ILPI (Base Federal) (v2027)",não,
RDC|503|2021,RDC ANVISA nº 503/2021,não,2,"Roteiro de Inspeção — ILPI (Base Federal); [ARQUIVADO] Roteiro de Inspeção — ILPI (Base Federal) (v2027)",não,
RDC|864|2024,RDC 864/2024,não,2,"[ARQUIVADO] Roteiro de Inspeção — Estética e Beleza; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza (v2027)",não,
RESOLUCAO|466|2012,Resolução CNS nº 466/2012,não,2,"[ARQUIVADO] Roteiro de Inspeção — Estética e Beleza; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza (v2027)",não,
LEI|5991|1973,Lei nº 5.991/1973,não,1,[ARQUIVADO] Roteiro de Inspeção — Clínica de Estética e Saúde | RJ / Rio de Janeiro,não,
LEI|8742|1993,Lei Federal 8.742/1993,não,1,Roteiro de Inspeção — ILPI | Goiás / Senador Canedo,não,
RDC|51|2011,RDC Anvisa nº 51/2011,não,1,Roteiro de Inspeção — Clínica de Estética e Saúde,não,
RESOLUCAO|109|2009,Resolução CNAS nº 109/2009 (Tipificação),não,1,Roteiro de Inspeção — ILPI (Base Federal),não,
RESOLUCAO|1822|2019,Resolução SES/RJ nº 1.822/2019,não,1,[ARQUIVADO] Roteiro de Inspeção — Clínica de Estética e Saúde | RJ / Rio de Janeiro,não,
